30445.383261718744,VDD Voltage,2,1D,1.802143,V,5d,0,2e
30454.084667968742,VREF/Switch Voltage,2,1C,0.800954,V,5c,0,14
30462.78607421874,VBAT Voltage,2,1B,1.537029,V,5b,0,9
30471.48748046874,GPIO2 Voltage,2,1A,0.754000,V,5a,4b,66
30480.188886718737,GPIO1 Voltage,2,19,1.316000,V,59,83,99
30488.890292968736,GR1 Voltage,2,17,0.000000,V,57,0,0
30497.591699218734,CE1 Voltage,2,15,0.248000,V,55,18,cc
30506.293105468732,WE1 Voltage,2,11,0.300000,V,51,1e,0
30514.841923828106,CHRONO A,3,2,512.109722,nA,62,80,7
30523.39074218748,CHRONO A,3,2,512.170820,nA,62,80,a
30531.939560546853,CHRONO A,3,2,512.175229,nA,62,80,b
30540.488378906226,CHRONO A,3,2,512.818899,nA,62,80,34
30549.0619972656,CHRONO A,3,3,541.925692,nA,63,87,7b
30557.610815624972,CHRONO A,3,3,524.728398,nA,63,83,2e
30566.159633984345,CHRONO A,3,3,517.413813,nA,63,81,5a
30574.733252343718,CHRONO A,3,4,482.074308,nA,64,78,84
30583.28207070309,CHRONO A,3,4,499.271602,nA,64,7c,d1
30591.830889062465,CHRONO A,3,4,506.586187,nA,64,7e,a5
30626.02616249996,CHRONO A,3,2,512.028481,nA,62,80,1
30634.574980859332,CHRONO A,3,2,512.030982,nA,62,80,1
30643.123799218705,CHRONO A,3,2,512.725366,nA,62,80,2e
30651.67261757808,CHRONO A,3,2,512.416161,nA,62,80,1a
30660.24623593745,CHRONO A,3,3,541.925692,nA,63,87,7b
30668.795054296825,CHRONO A,3,3,524.728398,nA,63,83,2e
30677.343872656198,CHRONO A,3,3,517.413813,nA,63,81,5a
30685.91749101557,CHRONO A,3,4,482.074308,nA,64,78,84
30694.466309374944,CHRONO A,3,4,499.271602,nA,64,7c,d1
30703.015127734318,CHRONO A,3,4,506.586187,nA,64,7e,a5
40205.788818359375,PSTAT,0,0,32.590798,nA,0,82,5c
40410.57763671875,PSTAT,0,1,38.620217,nA,1,9a,7b
40419.12645507813,CHRONO A,3,2,512.592172,nA,62,80,25
40427.675273437504,CHRONO A,3,2,512.129527,nA,62,80,8
40436.22409179688,CHRONO A,3,2,512.122917,nA,62,80,7
40444.77291015626,CHRONO A,3,2,512.784970,nA,62,80,32
40453.346528515634,CHRONO A,3,3,541.925692,nA,63,87,7b
40461.89534687501,CHRONO A,3,3,524.728398,nA,63,83,2e
40470.44416523439,CHRONO A,3,3,517.413813,nA,63,81,5a
40479.017783593765,CHRONO A,3,4,482.074308,nA,64,78,84
40487.56660195314,CHRONO A,3,4,499.271602,nA,64,7c,d1
40496.11542031252,CHRONO A,3,4,506.586187,nA,64,7e,a5
40530.31069375003,CHRONO A,3,2,512.267348,nA,62,80,11
40538.859512109404,CHRONO A,3,2,512.470845,nA,62,80,1e
40547.40833046878,CHRONO A,3,2,512.444805,nA,62,80,1c
40555.95714882816,CHRONO A,3,2,512.836682,nA,62,80,35
40564.530767187534,CHRONO A,3,3,541.925692,nA,63,87,7b
40573.07958554691,CHRONO A,3,3,524.728398,nA,63,83,2e
40581.62840390629,CHRONO A,3,3,517.413813,nA,63,81,5a
40590.202022265665,CHRONO A,3,4,482.074308,nA,64,78,84
40598.75084062504,CHRONO A,3,4,499.271602,nA,64,7c,d1
40607.29965898442,CHRONO A,3,4,506.586187,nA,64,7e,a5
50205.788818359375,PSTAT,0,0,32.020342,nA,0,80,14
50410.57763671875,PSTAT,0,1,40.286352,nA,1,a1,25
50616.366455078125,PSTAT,1,1,39.370508,nA,21,9d,7b
50633.76926757813,VREF/Switch Voltage,2,1C,0.801063,V,5c,0,14
50642.47067382813,Negative Charge Pump Voltage,2,1F,0.248000,V,5f,0,0
50651.17208007813,VDD Voltage,2,1D,1.802452,V,5d,0,2e
50659.873486328135,VREF/Switch Voltage,2,1C,0.800017,V,5c,0,14
50668.57489257814,VBAT Voltage,2,1B,1.537134,V,5b,0,9
50677.27629882814,GPIO2 Voltage,2,1A,0.680000,V,5a,44,0
50685.97770507814,GPIO1 Voltage,2,19,1.370000,V,59,89,0
50694.67911132814,GR1 Voltage,2,17,0.000000,V,57,0,0
50703.380517578145,CE1 Voltage,2,15,0.248000,V,55,18,cc
50712.08192382815,WE1 Voltage,2,11,0.300000,V,51,1e,0
50720.630742187524,CHRONO A,3,2,512.537409,nA,62,80,22
50729.1795605469,CHRONO A,3,2,512.500834,nA,62,80,20
50737.72837890628,CHRONO A,3,2,512.699798,nA,62,80,2c
50746.277197265656,CHRONO A,3,2,512.125482,nA,62,80,8
50754.85081562503,CHRONO A,3,3,541.925692,nA,63,87,7b
50763.39963398441,CHRONO A,3,3,524.728398,nA,63,83,2e
50771.948452343786,CHRONO A,3,3,517.413813,nA,63,81,5a
50780.52207070316,CHRONO A,3,4,482.074308,nA,64,78,84
50789.07088906254,CHRONO A,3,4,499.271602,nA,64,7c,d1
50797.619707421916,CHRONO A,3,4,506.586187,nA,64,7e,a5
50831.814980859424,CHRONO A,3,2,512.030334,nA,62,80,1
50840.3637992188,CHRONO A,3,2,512.486843,nA,62,80,1f
50848.91261757818,CHRONO A,3,2,512.167036,nA,62,80,a
50857.461435937556,CHRONO A,3,2,512.689810,nA,62,80,2c
50866.03505429693,CHRONO A,3,3,541.925692,nA,63,87,7b
50874.58387265631,CHRONO A,3,3,524.728398,nA,63,83,2e
50883.132691015686,CHRONO A,3,3,517.413813,nA,63,81,5a
50891.70630937506,CHRONO A,3,4,482.074308,nA,64,78,84
50900.25512773444,CHRONO A,3,4,499.271602,nA,64,7c,d1
50908.803946093816,CHRONO A,3,4,506.586187,nA,64,7e,a5
60205.788818359375,PSTAT,0,0,32.990715,nA,0,83,f6
60410.57763671875,PSTAT,0,1,39.415433,nA,1,9d,a9
60419.12645507813,CHRONO A,3,2,512.578650,nA,62,80,25
60427.675273437504,CHRONO A,3,2,512.744206,nA,62,80,2f
60436.22409179688,CHRONO A,3,2,512.872093,nA,62,80,37
60444.77291015626,CHRONO A,3,2,512.923207,nA,62,80,3b
60453.346528515634,CHRONO A,3,3,541.925692,nA,63,87,7b
60461.89534687501,CHRONO A,3,3,524.728398,nA,63,83,2e
60470.44416523439,CHRONO A,3,3,517.413813,nA,63,81,5a
60479.017783593765,CHRONO A,3,4,482.074308,nA,64,78,84
60487.56660195314,CHRONO A,3,4,499.271602,nA,64,7c,d1
60496.11542031252,CHRONO A,3,4,506.586187,nA,64,7e,a5
60530.31069375003,CHRONO A,3,2,512.949478,nA,62,80,3c
60538.859512109404,CHRONO A,3,2,512.704122,nA,62,80,2d
60547.40833046878,CHRONO A,3,2,512.860419,nA,62,80,37
60555.95714882816,CHRONO A,3,2,512.199932,nA,62,80,c
60564.530767187534,CHRONO A,3,3,541.925692,nA,63,87,7b
60573.07958554691,CHRONO A,3,3,524.728398,nA,63,83,2e
60581.62840390629,CHRONO A,3,3,517.413813,nA,63,81,5a
60590.202022265665,CHRONO A,3,4,482.074308,nA,64,78,84
60598.75084062504,CHRONO A,3,4,499.271602,nA,64,7c,d1
60607.29965898442,CHRONO A,3,4,506.586187,nA,64,7e,a5
70205.78881835938,PSTAT,0,0,32.622914,nA,0,82,7d
70410.57763671875,PSTAT,0,1,38.771752,nA,1,9b,16
70427.98044921874,VREF/Switch Voltage,2,1C,0.800245,V,5c,0,14
70436.68185546873,Negative Charge Pump Voltage,2,1F,0.248000,V,5f,0,0
